country,region,region_regime,regime_binary,predictor,outcome,outcome_label,corr,p_value,sig,n_pairwise,n_eff
Austria,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.24736376791009468,1.5817269839030892e-09,***,1132,579.4753623205747
Austria,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.07438945793254208,0.07465147245709147,,1126,575.1379816306184
Austria,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.1566811045479258,0.00017003429106826463,***,1115,571.2406613552236
Austria,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.03082736660386216,0.4912718340061036,,966,500.76461925271065
Austria,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.13348316531536591,0.001270674886925364,**,1132,580.1169135575738
Austria,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.2629313470882245,1.2364173718815e-10,***,1133,580.4878727766173
Austria,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.008062292812459513,0.8476491492061027,,1117,570.3168934175205
Austria,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.011798814096357173,0.782978142512139,,1065,547.4381182859138
Austria,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,0.03274037574797342,0.4411335610829673,,1090,555.7193076349112
Austria,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.1066101803789558,0.01225110739738933,*,1084,551.3807247102155
Austria,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.08620284794219187,0.043312184294670604,*,1080,549.9390603948956
Austria,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.07060518060917587,0.12090196506417807,,938,483.85404517644065
Austria,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.2219426776896958,1.2215809324132715e-07,***,1091,556.5438532390208
Austria,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.21861697792150347,1.8799807016772327e-07,***,1092,556.9382588463789
Austria,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.27525961232789786,5.334998035260351e-11,***,1079,548.8757827052036
Austria,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6278816305847652,5.863688262989765e-60,***,1042,534.5888749398379
Australia,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.14361124940703832,0.0010551258680345265,**,949,517.2937756999695
Australia,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.19383608164610142,9.345075247238343e-06,***,946,515.3608956828028
Australia,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.07548170186829276,0.08740971260906762,,943,513.7971441250266
Australia,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.07743367528002672,0.09031725501125383,,891,479.50299890557096
Australia,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.08889178164325016,0.04377993303253668,*,946,514.9109732506399
Australia,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.34844841975064406,1.9736972792460975e-16,***,965,524.9495216839379
Australia,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.15593136323790224,0.00041343645812067723,***,937,509.11796448886673
Australia,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.024988490674089862,0.5758711526081893,,908,503.53616911150016
Australia,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.0460918819295891,0.3018816778645759,,924,503.676439749494
Australia,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.20083558494548676,5.793274221374136e-06,***,921,501.7655423492092
Australia,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.09890653091832144,0.026846772853148286,*,919,501.00459861374276
Australia,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.0729370827186129,0.11452096692676073,,871,469.4452748076487
Australia,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.14506719678491803,0.0011254647848094753,**,921,501.2918436994562
Australia,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.21134037665563224,1.3932114353165675e-06,***,941,512.2048107581687
Australia,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.3895535752019533,1.9371643627406222e-19,***,914,496.4839375288887
Australia,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6623615745175968,8.343879181980863e-64,***,896,494.87236029878767
Canada,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.1662832230066721,6.091186983286556e-07,***,2121,889.9292036342027
Canada,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.19732176579206206,2.9094151721043817e-09,***,2121,889.9292036342027
Canada,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.18907851207857662,1.3162013585778358e-08,***,2121,889.9292036342027
Canada,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.019705128810150515,0.575384163957258,,1956,810.3853004359795
Canada,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.02542326343215075,0.4487652464154686,,2121,889.9292036342027
Canada,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.24270668146931612,2.13279995218556e-13,***,2121,889.9292036342027
Canada,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.034522631944233384,0.30416652812844436,,2118,887.8809551950927
Canada,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.06539264979663598,0.05305787715629848,,2097,875.7258190030576
Canada,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.1877915243612136,1.9226607149173654e-08,***,2113,881.8558242204823
Canada,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.1097459889896753,0.0010974840317855262,**,2113,881.8558242204823
Canada,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.285061771304043,5.979096938133441e-18,***,2113,881.8558242204823
Canada,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.043758702853942726,0.2150668187022322,,1951,804.4090232787344
Canada,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.21863001698303353,5.280865340406884e-11,***,2113,881.8558242204823
Canada,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.44882905924465893,6.25409438234329e-45,***,2113,881.8558242204823
Canada,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.5116654003503464,6.370186464242353e-60,***,2111,880.658588679006
Canada,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.7143470640191273,3.6944273221888743e-137,***,2095,872.8559312934716
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.16000602658776775,1.277885070160682e-19,***,3169,3169.0
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.14486095355956927,2.536712490597447e-16,***,3168,3168.0
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.13848028221203246,5.424496663789902e-15,***,3158,3158.0
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.00042320375117521766,0.9813946916535318,,3039,3039.0
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.08769331799879432,7.646667469565276e-07,***,3169,3169.0
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.2505110026417798,1.6139509013372025e-46,***,3167,3167.0
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.07289852599757074,4.3373320733494986e-05,***,3140,3140.0
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.026349328816153577,0.1436792501400175,,3081,3081.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.0527332217402456,0.00337110749015955,**,3089,3089.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.19755853252348365,1.5129303542020439e-28,***,3088,3088.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.14805618082637806,1.4689311168277423e-16,***,3080,3080.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,0.007339798505583152,0.6892749669882119,,2970,2970.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.15061636382263882,3.814650009370983e-17,***,3091,3091.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.16513668518721442,2.5499548238044812e-20,***,3088,3088.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.2599135636393602,1.4935410743457932e-48,***,3068,3068.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.5252342456197902,1.5283155022359406e-213,***,3016,3016.0
Germany,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.12558054417587647,3.901363826202453e-06,***,1513,1343.2458446633493
Germany,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.05888338008115619,0.03158685825255351,*,1501,1332.8803538217169
Germany,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.10955316446386092,6.404725898892421e-05,***,1493,1325.8711442367462
Germany,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.021153528228817907,0.46135968245716763,,1370,1214.8055966039801
Germany,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.1211938744184731,8.820522084102164e-06,***,1507,1337.3217838554815
Germany,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.19127868319854285,1.5751756312907048e-12,***,1513,1342.652907637915
Germany,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.022129938164682974,0.4221780609362235,,1485,1317.675595877321
Germany,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,0.037317422746166,0.18141411977036362,,1448,1284.1099496592874
Germany,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.1536127856208739,1.9532607625626457e-08,***,1491,1323.3029975042339
Germany,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.07924404681060881,0.0040877389265463245,**,1477,1311.259056676485
Germany,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.0010717812564557544,0.9691456054788654,,1470,1304.9405312774456
Germany,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.18060146370510055,2.718617003268981e-10,***,1358,1204.7348796171523
Germany,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.3391657550750049,6.968589384780034e-37,***,1487,1319.6501309515388
Germany,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.3972618942839282,2.960145094035792e-51,***,1491,1323.0067176183004
Germany,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.21903534090374163,1.3586917955292117e-15,***,1466,1300.695005193851
Germany,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6430382368970851,8.222310168891518e-150,***,1439,1276.1132911587115
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.08113632096793516,0.011367190632800452,*,1236,972.5404652224531
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.10013680109249798,0.0017938235557577356,**,1234,969.893449614433
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.0999337257233726,0.0019453023244077627,**,1219,959.00947909074
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.017074235011241255,0.618847710768379,,1087,851.3139543324123
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,0.021815667085903302,0.4970728773739424,,1236,971.2914870576906
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.17701577581382455,2.777740808654688e-08,***,1236,971.743284857171
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.07791045560182033,0.015905975922772434,*,1217,957.283809290023
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.092097552065988,0.004517836819304577,**,1205,949.0679041923606
Denmark,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.10105500079515559,0.0017665636438932632,**,1212,955.0477762704568
Denmark,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.0873572623863665,0.006958130256010907,**,1211,953.3108348461852
Denmark,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.13750125908708205,2.2177700843447087e-05,***,1198,945.1262036937927
Denmark,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.033875943477958526,0.3276183520118227,,1067,837.0728765259913
Denmark,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.07322729026496476,0.02365457668288228,*,1213,954.7225152315449
Denmark,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.2543508528935066,1.4856152507205358e-15,***,1212,954.1838357054522
Denmark,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.38802302890550117,2.726893902540289e-35,***,1199,944.2459374289969
Denmark,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6706012869235715,2.698960933543987e-123,***,1188,936.12431583329
Finland,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.19751336115278398,1.2836853847022073e-12,***,1348,1267.9008128581602
Finland,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.1202688043551535,1.8033791674218594e-05,***,1344,1264.4178868992356
Finland,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.21064671584933456,3.569991551213394e-14,***,1347,1267.019080253406
Finland,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.06717470394406487,0.019908990466796277,*,1276,1200.8798235524164
Finland,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.13889476880153606,7.109466784327382e-07,***,1344,1264.55684893541
Finland,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.2930183271598658,1.7083631918793215e-26,***,1346,1266.4088719264903
Finland,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.05960298222182022,0.0340847387852256,*,1344,1264.2725345763674
Finland,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.028325538301489584,0.31975372455611006,,1314,1235.8437800411778
Finland,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.10970171645770606,0.00012247333961212155,***,1299,1221.1041049636576
Finland,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.1321611723129312,3.738990450101068e-06,***,1294,1216.6362641883097
Finland,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.1769979165546223,5.110579947581217e-10,***,1294,1216.2964363605993
Finland,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.03603340372134163,0.2200726425882817,,1233,1160.0119926459809
Finland,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.17322244585763147,1.220081152128581e-09,***,1292,1214.9230348939498
Finland,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.23299133372968256,1.7888584130251459e-16,***,1295,1217.6521249447128
Finland,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.35186366163379046,1.024957623248719e-36,***,1292,1214.5429107451762
Finland,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6726916479847194,2.4361024615354053e-159,***,1280,1203.3061432954185
France,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.24330737319045262,1.6987364289791738e-17,***,1891,1190.026780124761
France,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.23312906267883943,3.0815409157448146e-16,***,1889,1196.9888479260921
France,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.20279657082114358,1.7113518693954122e-12,***,1887,1188.0795081431477
France,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.10047338502422952,0.0006643492834473026,***,1801,1144.4468972917484
France,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.12558035631686906,1.4276170135332633e-05,***,1887,1187.18392966188
France,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.27151060230659274,1.8025935272893333e-21,***,1884,1184.987957237854
France,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.1335479440716499,3.9437517956339245e-06,***,1875,1185.6496525255304
France,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.2091815444147191,1.3182857101206012e-12,***,1778,1126.7332124687948
France,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.04511501279003229,0.12156160744623049,,1870,1179.0185445659176
France,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.1581495144697411,4.3645861689307774e-08,***,1868,1186.116999022967
France,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.20802244759738892,5.541016871753077e-13,***,1867,1178.0424635707116
France,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,0.016248767540049905,0.5843257126694557,,1783,1135.9410973873976
France,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.1460652127036278,4.878265948633431e-07,***,1866,1176.1726789729705
France,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.16357804460104722,1.732510519350598e-08,***,1863,1173.9849706823297
France,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.4640732036586039,1.3546440290964893e-63,***,1857,1171.0338285968257
France,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.7367271862922428,6.000401403611755e-192,***,1768,1118.5230712973992
Greece,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.20773009737992465,9.245707179856733e-08,***,1438,649.187875572449
Greece,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.1574032129236835,5.601899468081157e-05,***,1437,649.5326379626933
Greece,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.2030316160153499,1.8550319861211653e-07,***,1436,648.1380742435873
Greece,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.1403530072639883,0.0005189617002680282,***,1350,607.9736271371141
Greece,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.057904203470969216,0.14100903239598966,,1436,647.6965017074003
Greece,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.26639049187927977,5.087636483829657e-12,***,1438,649.887396073475
Greece,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.08146342830152696,0.03758489400179151,*,1442,651.860426961939
Greece,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.18669977015321762,1.6132326605722796e-06,***,1413,651.0001060260231
Greece,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,0.10975661798397374,0.004888503435646291,**,1437,656.0018955441244
Greece,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.2204491340462482,1.1454860580249697e-08,***,1436,656.4174225364911
Greece,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.21369229763797776,3.956466922568966e-08,***,1435,647.9995599743551
Greece,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.08152367176206404,0.045151230395063545,*,1354,604.3000007803134
Greece,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.2568811423783512,3.06536227097498e-11,***,1437,649.0087418110891
Greece,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,0.005094852054188615,0.8968194301402371,,1437,650.3561357287055
Greece,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.4732762658223428,9.111839885701775e-38,***,1443,653.1755040683508
Greece,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.756892167780658,3.503494226523424e-121,***,1417,646.5861748844687
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.04032904633304326,0.19209039466746555,,1392,1047.8110700162465
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,0.20740711733903125,1.2224725443104685e-11,***,1391,1047.1764121461736
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.050878425083130806,0.10053705583459673,,1386,1043.0221795418302
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.0609804144413713,0.04981109571108325,*,1375,1035.3175681329753
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,0.16079896678864403,1.7062785245477543e-07,***,1390,1046.158586148429
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,0.004109942890968099,0.8942880903323297,,1392,1047.8110700162465
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.08912568115232958,0.004012402070467705,**,1382,1040.5040767469209
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.08011459326952908,0.01045691513552888,*,1355,1020.564085461113
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,0.05439225004087131,0.07931295065452801,,1384,1041.6582243221508
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.09308549424579038,0.002644347499803551,**,1383,1041.0236948748222
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.19919759149690197,9.704818439313709e-11,***,1378,1036.8699702314934
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.00999576003332337,0.7486561351741837,,1368,1029.9572854930975
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.05592712656573515,0.07151806286001243,,1381,1039.235913747359
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.11366671994699329,0.000236847264296086,***,1384,1041.6582243221508
