group,group_label,measure,label,items,alpha_unweighted,n_complete
all_issp,All ISSP countries,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.6649261743565678,39563
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.5797361294146445,39787
all_issp,All ISSP countries,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.7675105404252385,38805
all_issp,All ISSP countries,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.5964010816398849,41851
all_issp,All ISSP countries,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.626790687358814,40610
all_issp,All ISSP countries,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.57596121769948,37479
all_issp,All ISSP countries,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.8049002713247039,37129
all_issp,All ISSP countries,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.7039208624451393,35805
democracies,All democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.650796799029032,32787
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.5652286552742889,32883
democracies,All democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.7645410315910519,32179
democracies,All democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.5757666166098546,34660
democracies,All democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.5975148697524804,33710
democracies,All democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.582033224445548,30946
democracies,All democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.8247535573070983,30726
democracies,All democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.6766698901959768,29077
non_democracies,All non-democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.7404411006593057,6776
non_democracies,All non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.672904230708571,6904
non_democracies,All non-democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.5587902035287194,6626
non_democracies,All non-democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.6956780356222867,7191
non_democracies,All non-democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.6847956777012085,6900
non_democracies,All non-democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.4654814424290096,6533
non_democracies,All non-democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.6214257433375782,6403
non_democracies,All non-democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.7712713323483676,6728
western_democracies,Western democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.5764140094374817,20536
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.49904640255900323,20613
western_democracies,Western democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.7502560211752628,20159
western_democracies,Western democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.532732432944607,22052
western_democracies,Western democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.5851850283301187,21357
western_democracies,Western democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.5978629151530613,19088
western_democracies,Western democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.8575676604214056,19105
western_democracies,Western democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.6598514944547829,17352
east_europe_democracies,Eastern Europe democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.8142879855485159,4411
east_europe_democracies,Eastern Europe democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.7696044727934331,4417
east_europe_democracies,Eastern Europe democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.6814848489443412,4382
east_europe_democracies,Eastern Europe democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.676660262745676,4608
east_europe_democracies,Eastern Europe democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.7287032459728884,4425
east_europe_democracies,Eastern Europe democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.5894074528980897,4237
east_europe_democracies,Eastern Europe democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.7905157220364268,4112
east_europe_democracies,Eastern Europe democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.6979982808377969,4245
east_europe_non_democracies,Eastern Europe non-democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.684373807498152,2352
east_europe_non_democracies,Eastern Europe non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.628188954376532,2361
east_europe_non_democracies,Eastern Europe non-democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.6381333454339653,2337
east_europe_non_democracies,Eastern Europe non-democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.7054859982653598,2538
east_europe_non_democracies,Eastern Europe non-democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.8006700962271891,2374
east_europe_non_democracies,Eastern Europe non-democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.6146045249059697,2258
east_europe_non_democracies,Eastern Europe non-democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.7388332444698361,2345
east_europe_non_democracies,Eastern Europe non-democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.8293001983861288,2318
east_asia_democracies,East Asian democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.6547839259567798,2738
east_asia_democracies,East Asian democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.5695396156937478,2742
east_asia_democracies,East Asian democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.7074477630717659,2718
east_asia_democracies,East Asian democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.6150730740607457,2771
east_asia_democracies,East Asian democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.4605653870213678,2752
east_asia_democracies,East Asian democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.5164288592165039,2688
east_asia_democracies,East Asian democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.6509467807929067,2670
east_asia_democracies,East Asian democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.6681321869505628,2656
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.764047479502761,4424
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.6992412070072758,4543
south_se_asia_non_democracies,South/Southeast Asia non-democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.4921689726187988,4289
south_se_asia_non_democracies,South/Southeast Asia non-democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.6916453313339147,4653
south_se_asia_non_democracies,South/Southeast Asia non-democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.6184251568918553,4526
south_se_asia_non_democracies,South/Southeast Asia non-democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.3340674445147926,4275
south_se_asia_non_democracies,South/Southeast Asia non-democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.36741851838244644,4058
south_se_asia_non_democracies,South/Southeast Asia non-democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.7372822808030498,4410
other_democracies,Other democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.7503767854080957,5102
other_democracies,Other democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.6679844458693207,5111
other_democracies,Other democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.5566012089931445,4920
other_democracies,Other democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.6720555206709142,5229
other_democracies,Other democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.6124550205182908,5176
other_democracies,Other democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.47844553283250435,4933
other_democracies,Other democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.6664386212625139,4839
other_democracies,Other democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.7407707661421261,4824
